"startTime","framework","runNumber","factor","factorValue"
"warm_1","swarm","5","throughput",333.562074684051
"cold_1","swarm","5","throughput",312.2758177632636
"warm_2","swarm","5","throughput",295.4614527403505
"cold_2","swarm","5","throughput",341.41059408838163
"warm_0","swarm","6","throughput",329.6970382093602
"cold_0","swarm","6","throughput",217.8988326848249
"warm_1","swarm","6","throughput",324.16361009225295
"cold_1","swarm","6","throughput",242.90062966515157
"warm_2","swarm","6","throughput",327.5678104116359
"cold_2","swarm","6","throughput",315.65560906975486
"warm_0","k8s","1","errorPct",0.0
"cold_0","k8s","1","errorPct",0.0
"warm_1","k8s","1","errorPct",0.0
"cold_1","k8s","1","errorPct",0.0
"warm_2","k8s","1","errorPct",0.0
"cold_2","k8s","1","errorPct",0.0
"warm_0","k8s","2","errorPct",0.0
"cold_0","k8s","2","errorPct",0.0
"warm_1","k8s","2","errorPct",0.0
"cold_1","k8s","2","errorPct",0.0
"warm_2","k8s","2","errorPct",0.0
"cold_2","k8s","2","errorPct",0.0
"warm_0","k8s","3","errorPct",0.0
"cold_0","k8s","3","errorPct",0.0
"warm_1","k8s","3","errorPct",0.0
"cold_1","k8s","3","errorPct",0.0
"warm_2","k8s","3","errorPct",0.0
"cold_2","k8s","3","errorPct",0.0
"warm_0","k8s","4","errorPct",0.0
"cold_0","k8s","4","errorPct",0.0
"warm_1","k8s","4","errorPct",0.0
"cold_1","k8s","4","errorPct",0.017143836
"warm_2","k8s","4","errorPct",0.0
"cold_2","k8s","4","errorPct",0.017143836
"warm_0","k8s","5","errorPct",0.0
"cold_0","k8s","5","errorPct",0.0
"warm_1","k8s","5","errorPct",0.0
"cold_1","k8s","5","errorPct",0.017143836
"warm_2","k8s","5","errorPct",0.0
"cold_2","k8s","5","errorPct",0.0
"warm_0","k8s","6","errorPct",0.0
"cold_0","k8s","6","errorPct",0.0
"warm_1","k8s","6","errorPct",0.0
"cold_1","k8s","6","errorPct",0.0
"warm_2","k8s","6","errorPct",0.0
"cold_2","k8s","6","errorPct",0.0
"warm_0","swarm","1","errorPct",0.0
"cold_0","swarm","1","errorPct",0.0
"warm_1","swarm","1","errorPct",0.0
"cold_1","swarm","1","errorPct",0.0
"warm_2","swarm","1","errorPct",0.0
"cold_2","swarm","1","errorPct",0.0
"warm_0","swarm","2","errorPct",0.0
"cold_0","swarm","2","errorPct",0.0
"warm_1","swarm","2","errorPct",0.0
"cold_1","swarm","2","errorPct",0.0
"warm_2","swarm","2","errorPct",0.0
"cold_2","swarm","2","errorPct",0.0
"warm_0","swarm","3","errorPct",0.0
"cold_0","swarm","3","errorPct",0.0
"warm_1","swarm","3","errorPct",0.0
"cold_1","swarm","3","errorPct",0.0
"warm_2","swarm","3","errorPct",0.0
"cold_2","swarm","3","errorPct",0.0
"warm_0","swarm","4","errorPct",0.0
"cold_0","swarm","4","errorPct",0.0
"warm_1","swarm","4","errorPct",0.0
"cold_1","swarm","4","errorPct",0.0
"warm_2","swarm","4","errorPct",0.0
"cold_2","swarm","4","errorPct",0.0
"warm_0","swarm","5","errorPct",0.0
"cold_0","swarm","5","errorPct",0.0
"warm_1","swarm","5","errorPct",0.0
"cold_1","swarm","5","errorPct",0.0
"warm_2","swarm","5","errorPct",0.0
"cold_2","swarm","5","errorPct",0.0
"warm_0","swarm","6","errorPct",0.0
"cold_0","swarm","6","errorPct",0.15429454
"warm_1","swarm","6","errorPct",0.0
"cold_1","swarm","6","errorPct",0.13715069
"warm_2","swarm","6","errorPct",0.0
"cold_2","swarm","6","errorPct",0.0
