"framework","runNumber","factor","factorValue"
"cold_0","swarm","5","throughput",285.88933000049013
"warm_1","swarm","5","throughput",311.64182294171076
"cold_1","swarm","5","throughput",212.41198146594186
"warm_2","swarm","5","throughput",285.02321035914974
"cold_2","swarm","5","throughput",261.5108720017933
"warm_0","swarm","6","throughput",265.0038617055109
"cold_0","swarm","6","throughput",281.7738273513357
"warm_1","swarm","6","throughput",284.190012180268
"cold_1","swarm","6","throughput",240.38738924376673
"warm_2","swarm","6","throughput",291.8981133963869
"cold_2","swarm","6","throughput",289.34967012252594
"warm_0","k8s","1","errorPct",0.0
"cold_0","k8s","1","errorPct",0.0
"warm_1","k8s","1","errorPct",0.0
"cold_1","k8s","1","errorPct",0.0
"warm_2","k8s","1","errorPct",0.0
"cold_2","k8s","1","errorPct",0.0
"warm_0","k8s","2","errorPct",0.0
"cold_0","k8s","2","errorPct",0.017143836
"warm_1","k8s","2","errorPct",0.0
"cold_1","k8s","2","errorPct",0.034287672
"warm_2","k8s","2","errorPct",0.0
"cold_2","k8s","2","errorPct",0.0
"warm_0","k8s","3","errorPct",0.0
"cold_0","k8s","3","errorPct",0.10286302
"warm_1","k8s","3","errorPct",0.0
"cold_1","k8s","3","errorPct",0.017143836
"warm_2","k8s","3","errorPct",0.0
"cold_2","k8s","3","errorPct",0.0
"warm_0","k8s","4","errorPct",0.0
"cold_0","k8s","4","errorPct",0.10286302
"warm_1","k8s","4","errorPct",0.0
"cold_1","k8s","4","errorPct",0.10286302
"warm_2","k8s","4","errorPct",0.0
"cold_2","k8s","4","errorPct",0.10286302
"warm_0","k8s","5","errorPct",0.0
"cold_0","k8s","5","errorPct",0.0
"warm_1","k8s","5","errorPct",0.0
"cold_1","k8s","5","errorPct",0.10286302
"warm_2","k8s","5","errorPct",0.0
"cold_2","k8s","5","errorPct",0.0
"warm_0","k8s","6","errorPct",0.0
"cold_0","k8s","6","errorPct",0.017143836
"warm_1","k8s","6","errorPct",0.0
"cold_1","k8s","6","errorPct",0.10286302
"warm_2","k8s","6","errorPct",0.0
"cold_2","k8s","6","errorPct",0.0
"warm_0","swarm","1","errorPct",0.0
"cold_0","swarm","1","errorPct",0.0
"warm_1","swarm","1","errorPct",0.0
"cold_1","swarm","1","errorPct",0.0
"warm_2","swarm","1","errorPct",0.0
"cold_2","swarm","1","errorPct",0.9257672
"warm_0","swarm","2","errorPct",0.0
"cold_0","swarm","2","errorPct",0.017143836
"warm_1","swarm","2","errorPct",0.0
"cold_1","swarm","2","errorPct",0.017143836
"warm_2","swarm","2","errorPct",0.0
"cold_2","swarm","2","errorPct",0.0
"warm_0","swarm","3","errorPct",0.0
"cold_0","swarm","3","errorPct",0.27430138
"warm_1","swarm","3","errorPct",0.0
"cold_1","swarm","3","errorPct",0.29144523
"warm_2","swarm","3","errorPct",0.0
"cold_2","swarm","3","errorPct",0.0
"warm_0","swarm","4","errorPct",0.0
"cold_0","swarm","4","errorPct",0.5143151
"warm_1","swarm","4","errorPct",0.0
"cold_1","swarm","4","errorPct",0.0
"warm_2","swarm","4","errorPct",0.0
"cold_2","swarm","4","errorPct",0.0
"warm_0","swarm","5","errorPct",0.0
"cold_0","swarm","5","errorPct",0.0
"warm_1","swarm","5","errorPct",0.0
"cold_1","swarm","5","errorPct",0.18858221
"warm_2","swarm","5","errorPct",0.0
"cold_2","swarm","5","errorPct",0.0
"warm_0","swarm","6","errorPct",0.0
"cold_0","swarm","6","errorPct",0.0
"warm_1","swarm","6","errorPct",0.0
"cold_1","swarm","6","errorPct",0.0
"warm_2","swarm","6","errorPct",0.0
"cold_2","swarm","6","errorPct",0.0
